sensor,method_a,method_b,jaccard,cohen_kappa,raw_agreement
precipitation,gru_ae,isolation_forest,0.20489626556016596,0.3334473013314627,0.9868155065385785
precipitation,gru_ae,lof,0.12219046883447902,0.20987265917209852,0.9843605293613343
precipitation,gru_ae,lstm_ae,0.8024078441107112,0.8892667891960371,0.997809235613132
precipitation,gru_ae,modified_z_score,0.08891132163379407,0.15516197667004883,0.9838541215131136
precipitation,gru_ae,z_score,0.043690715722908884,0.07447443926486463,0.9816867509670602
precipitation,isolation_forest,lof,0.2435579145621094,0.3855703930257467,0.987840707209569
precipitation,isolation_forest,lstm_ae,0.20780301139672241,0.3374823766391315,0.9868953208190046
precipitation,isolation_forest,modified_z_score,0.3682053283887967,0.5337389316099758,0.9910910749745075
precipitation,isolation_forest,z_score,0.20596295988705257,0.3349293963783775,0.9868430287042427
precipitation,lof,lstm_ae,0.1234921125889267,0.21195834506957645,0.9844018126098306
precipitation,lof,modified_z_score,0.1701417848206839,0.28390162482527315,0.9863077225820746
precipitation,lof,z_score,0.12564877217445194,0.21540235521679274,0.9844678658074246
precipitation,lstm_ae,modified_z_score,0.09094445308853276,0.15861823040906176,0.9839201747107076
precipitation,lstm_ae,z_score,0.04429105550762151,0.07558718415303434,0.9817087686995914
precipitation,modified_z_score,z_score,0.4156656909256082,0.583220301686524,0.9920337091485055
pressure,autoencoder,gru_ae,0.33506317689530685,0.49691830688345107,0.9900499024235426
pressure,autoencoder,isolation_forest,0.1367915465898175,0.23300100197738238,0.9848300684048106
pressure,autoencoder,lof,0.06134529147982063,0.10667577194472333,0.9823315708796737
pressure,autoencoder,lstm_ae,0.31943360463819825,0.47899378100043866,0.9896953858828137
pressure,autoencoder,modified_z_score,0.021487745944080084,0.0324037745404685,0.9808577949746436
pressure,autoencoder,z_score,0.04337859284076882,0.07389949604435775,0.9816833120623409
pressure,gru_ae,isolation_forest,0.20681215582296553,0.3361097032472824,0.9868693826010034
pressure,gru_ae,lof,0.046608295745998056,0.07987433800536192,0.9818014842425838
pressure,gru_ae,lstm_ae,0.7235653946985144,0.8379964279716305,0.9967958457414122
pressure,gru_ae,modified_z_score,0.024671052631578948,0.03854778443843887,0.9809793435028935
pressure,gru_ae,z_score,0.03697861899754644,0.06194981212234951,0.9814469677018549
pressure,isolation_forest,lof,0.02967023405551205,0.04812232072688272,0.9811734835132927
pressure,isolation_forest,lstm_ae,0.22682977399958532,0.36342326649758716,0.9874095982821142
pressure,isolation_forest,modified_z_score,0.019903498190591073,0.029331769591483314,0.9807970207105187
pressure,isolation_forest,z_score,0.024854940677232183,0.03890399312990489,0.9809911607209179
pressure,lof,lstm_ae,0.04512938267243664,0.0771429816803314,0.9817474626744728
pressure,lof,modified_z_score,0.032626712030009594,0.05373714224175463,0.9812798384755114
pressure,lof,z_score,0.058213359563623356,0.10104234952434799,0.9822201513954446
pressure,lstm_ae,modified_z_score,0.026003293750541737,0.04110778856259323,0.9810299887229976
pressure,lstm_ae,z_score,0.03688775957241742,0.0617791023520351,0.9814435913538481
pressure,modified_z_score,z_score,0.2062570060124325,0.3353375958987308,0.9868508126869653
