station,sensor,method,percentile,cutoff,rate_overall
sede-central_finca-3,luminous_intensity,gru_ae,0.99,0.451997846364975,0.007601751625561601
sede-central_losic-norte-1,pressure,lstm_ae,0.9,0.0168430395424366,0.06397193920160348
sede-central_losic-norte-1,pressure,lstm_ae,0.95,0.02173195779323578,0.03335003618952174
sede-central_losic-norte-1,pressure,lstm_ae,0.99,0.04864272475242615,0.011023885084349424
sede-central_losic-norte-1,pressure,gru_ae,0.9,0.01621953397989273,0.06018595846556428
sede-central_losic-norte-1,pressure,gru_ae,0.95,0.021709324792027473,0.02978676020266132
sede-central_losic-norte-1,pressure,gru_ae,0.99,0.048555709421634674,0.010745504147875954
sede-central_losic-norte-1,precipitation,lstm_ae,0.9,0.018385550007224083,0.09195832220144269
sede-central_losic-norte-1,precipitation,lstm_ae,0.95,0.050091009587049484,0.05653219342773177
sede-central_losic-norte-1,precipitation,lstm_ae,0.99,0.19665873050689697,0.03248730964467005
sede-central_losic-norte-1,precipitation,gru_ae,0.9,0.01787235587835312,0.09169115682607534
sede-central_losic-norte-1,precipitation,gru_ae,0.95,0.045059122145175934,0.05498263425060112
sede-central_losic-norte-1,precipitation,gru_ae,0.99,0.21868020296096802,0.030510285866951644
sede-central_losic-norte-1,luminous_intensity,lstm_ae,0.9,0.040717002004384995,0.12198652636267468
sede-central_losic-norte-1,luminous_intensity,lstm_ae,0.95,0.06257465481758118,0.054395634986916096
sede-central_losic-norte-1,luminous_intensity,lstm_ae,0.99,0.09516892582178116,0.013584989699905351
sede-central_losic-norte-1,luminous_intensity,gru_ae,0.9,0.04034081846475601,0.11474862201436446
sede-central_losic-norte-1,luminous_intensity,gru_ae,0.95,0.060544755309820175,0.05322643505372752
sede-central_losic-norte-1,luminous_intensity,gru_ae,0.99,0.0910041481256485,0.012026056455653918
sede-central_losic-norte-2,pressure,lstm_ae,0.9,69.62406158447266,0.041806300268096515
sede-central_losic-norte-2,pressure,lstm_ae,0.95,87.18627166748047,0.021699061662198392
sede-central_losic-norte-2,pressure,lstm_ae,0.99,264.1459045410156,0.004943029490616622
sede-central_losic-norte-2,pressure,gru_ae,0.9,33.689449310302734,0.04222520107238606
sede-central_losic-norte-2,pressure,gru_ae,0.95,52.5511589050293,0.02195040214477212
sede-central_losic-norte-2,pressure,gru_ae,0.99,250.58099365234375,0.004859249329758713
sede-central_losic-norte-2,precipitation,lstm_ae,0.9,1.2373838217172306e-05,0.10392865750783321
sede-central_losic-norte-2,precipitation,lstm_ae,0.95,0.05488935485482216,0.043769583032055914
sede-central_losic-norte-2,precipitation,lstm_ae,0.99,2.0860393047332764,0.004483007953723789
sede-central_losic-norte-2,precipitation,gru_ae,0.9,1.7285452713622362e-06,0.10392865750783321
sede-central_losic-norte-2,precipitation,gru_ae,0.95,0.05487872287631035,0.043769583032055914
sede-central_losic-norte-2,precipitation,gru_ae,0.99,2.0840485095977783,0.004483007953723789
sede-central_losic-norte-2,luminous_intensity,lstm_ae,0.9,0.11483573913574219,0.1448558981233244
sede-central_losic-norte-2,luminous_intensity,lstm_ae,0.95,0.1637437790632248,0.08662868632707775
sede-central_losic-norte-2,luminous_intensity,lstm_ae,0.99,0.285770058631897,0.02111260053619303
sede-central_losic-norte-2,luminous_intensity,gru_ae,0.9,0.1113344356417656,0.14150469168900803
sede-central_losic-norte-2,luminous_intensity,gru_ae,0.95,0.15979665517807007,0.08126675603217158
sede-central_losic-norte-2,luminous_intensity,gru_ae,0.99,0.2667487859725952,0.02387734584450402
sede-central_sabanilla,pressure,lstm_ae,0.9,0.015375829301774502,0.08226655403210086
sede-central_sabanilla,pressure,lstm_ae,0.95,0.019315483048558235,0.04503216583273767
sede-central_sabanilla,pressure,lstm_ae,0.99,0.04377174749970436,0.005913314705308987
sede-central_sabanilla,pressure,gru_ae,0.9,0.01371039543300867,0.07219442458899214
sede-central_sabanilla,pressure,gru_ae,0.95,0.018070612102746964,0.034960036389628954
sede-central_sabanilla,pressure,gru_ae,0.99,0.03683261200785637,0.0063032035869777115
sede-central_sabanilla,precipitation,lstm_ae,0.9,0.01976553350687027,0.10490899769289926
sede-central_sabanilla,precipitation,lstm_ae,0.95,0.07642631232738495,0.056716226608561904
sede-central_sabanilla,precipitation,lstm_ae,0.99,0.7349812388420105,0.010381953345296078
sede-central_sabanilla,precipitation,gru_ae,0.9,0.022471655160188675,0.09318123558062036
sede-central_sabanilla,precipitation,gru_ae,0.95,0.07606915384531021,0.05453729812868495
sede-central_sabanilla,precipitation,gru_ae,0.99,0.528359055519104,0.011086900794668033
sede-central_sabanilla,luminous_intensity,lstm_ae,0.9,0.129497230052948,0.07349405419455456
sede-central_sabanilla,luminous_intensity,lstm_ae,0.95,0.16610190272331238,0.033270517902397816
sede-central_sabanilla,luminous_intensity,lstm_ae,0.99,0.2308841347694397,0.005003573981415297
sede-central_sabanilla,luminous_intensity,gru_ae,0.9,0.12415553629398346,0.07043992462148288
sede-central_sabanilla,luminous_intensity,gru_ae,0.95,0.16267123818397522,0.03015140684904802
sede-central_sabanilla,luminous_intensity,gru_ae,0.99,0.22481919825077057,0.004743648060302814
sede-guanacaste_liberia,pressure,lstm_ae,0.9,0.011218595318496227,0.0795428830052048
sede-guanacaste_liberia,pressure,lstm_ae,0.95,0.015370798297226429,0.04629360230174894
sede-guanacaste_liberia,pressure,lstm_ae,0.99,0.03048299439251423,0.019930171661332558
sede-guanacaste_liberia,pressure,gru_ae,0.9,0.011968467384576797,0.08031875343484304
sede-guanacaste_liberia,pressure,gru_ae,0.95,0.01604071632027626,0.047619047619047616
sede-guanacaste_liberia,pressure,gru_ae,0.99,0.03236352652311325,0.019865515792196038
sede-guanacaste_liberia,precipitation,lstm_ae,0.9,0.002114306204020977,0.08557804918855613
sede-guanacaste_liberia,precipitation,lstm_ae,0.95,0.008053761906921864,0.03634169076698774
sede-guanacaste_liberia,precipitation,lstm_ae,0.99,0.7998815774917603,0.00540165873945362
sede-guanacaste_liberia,precipitation,gru_ae,0.9,0.0021646583918482065,0.08593656636152872
sede-guanacaste_liberia,precipitation,gru_ae,0.95,0.00844299141317606,0.03638949305671742
sede-guanacaste_liberia,precipitation,gru_ae,0.99,0.6691827774047852,0.0053777575945887805
sede-guanacaste_liberia,luminous_intensity,lstm_ae,0.9,0.027883797883987427,0.11284065561051304
sede-guanacaste_liberia,luminous_intensity,lstm_ae,0.95,0.046638064086437225,0.054488733714802964
sede-guanacaste_liberia,luminous_intensity,lstm_ae,0.99,0.1013256311416626,0.0073707690815633786
sede-guanacaste_liberia,luminous_intensity,gru_ae,0.9,0.02732415311038494,0.11187081757346523
sede-guanacaste_liberia,luminous_intensity,gru_ae,0.95,0.045783255249261856,0.05450489768208709
sede-guanacaste_liberia,luminous_intensity,gru_ae,0.99,0.09649365395307541,0.007904180001939676
sede-sur_golfito,pressure,lstm_ae,0.9,0.009965223260223866,0.07450439890252857
sede-sur_golfito,pressure,lstm_ae,0.95,0.015130029991269112,0.03735524841240194
sede-sur_golfito,pressure,lstm_ae,0.99,0.03222042694687843,0.010807259799312147
sede-sur_golfito,pressure,gru_ae,0.9,0.009381680749356747,0.07896126647173238
sede-sur_golfito,pressure,gru_ae,0.95,0.013696539215743542,0.04188940270245901
sede-sur_golfito,pressure,gru_ae,0.99,0.027546938508749008,0.012958406863060812
sede-sur_golfito,precipitation,lstm_ae,0.9,0.027707213535904884,0.12053820016591475
sede-sur_golfito,precipitation,lstm_ae,0.95,0.1645454466342926,0.05437685375637806
sede-sur_golfito,precipitation,lstm_ae,0.99,1.1112827062606812,0.013261815743718536
sede-sur_golfito,precipitation,gru_ae,0.9,0.03945064917206764,0.12058365626100889
sede-sur_golfito,precipitation,gru_ae,0.95,0.18218311667442322,0.052854074570724004
sede-sur_golfito,precipitation,gru_ae,0.99,0.977226972579956,0.01373910474220712
sede-sur_golfito,luminous_intensity,lstm_ae,0.9,0.02876759134232998,0.0977161773987866
sede-sur_golfito,luminous_intensity,lstm_ae,0.95,0.04134838655591011,0.04943773910579264
sede-sur_golfito,luminous_intensity,lstm_ae,0.99,0.066074438393116,0.013435008308322493
sede-sur_golfito,luminous_intensity,gru_ae,0.9,0.03719369322061539,0.10293303105638066
sede-sur_golfito,luminous_intensity,gru_ae,0.95,0.052914027124643326,0.05185938969252766
sede-sur_golfito,luminous_intensity,gru_ae,0.99,0.08566121757030487,0.01428516223770819
