station,sensor,percentile,cutoff,rate_overall
sede-central_finca-3,luminous_intensity,0.95,0.27831050753593445,0.03624575837424883
sede-central_finca-3,luminous_intensity,0.99,0.4254402220249176,0.007184697920418571
sede-central_losic-norte-1,pressure,0.9,0.0061803823336958885,0.05985190134179611
sede-central_losic-norte-1,pressure,0.95,0.009130267426371574,0.02510996046990702
sede-central_losic-norte-1,pressure,0.99,0.04008881002664566,0.009910361338455543
sede-central_losic-norte-1,precipitation,0.9,0.008732857182621956,0.09147742452578146
sede-central_losic-norte-1,precipitation,0.95,0.022907881066203117,0.05594442960192359
sede-central_losic-norte-1,precipitation,0.99,0.10479539632797241,0.02676997061180871
sede-central_losic-norte-1,luminous_intensity,0.9,0.029861221089959145,0.12866766883803796
sede-central_losic-norte-1,luminous_intensity,0.95,0.045117247849702835,0.05818161572295529
sede-central_losic-norte-1,luminous_intensity,0.99,0.07063037902116776,0.01208173264294861
sede-central_losic-norte-2,pressure,0.9,0.8971819281578064,0.04121983914209115
sede-central_losic-norte-2,pressure,0.95,1.1237291097640991,0.020777479892761394
sede-central_losic-norte-2,pressure,0.99,55.77085494995117,0.004021447721179625
sede-central_losic-norte-2,precipitation,0.9,1.6215144569287077e-05,0.10392865750783321
sede-central_losic-norte-2,precipitation,0.95,0.031082313507795334,0.03943118823812967
sede-central_losic-norte-2,precipitation,0.99,1.037638783454895,0.003277898288744276
sede-central_losic-norte-2,luminous_intensity,0.9,0.07586149871349335,0.14334785522788204
sede-central_losic-norte-2,luminous_intensity,0.95,0.10211299359798431,0.0880529490616622
sede-central_losic-norte-2,luminous_intensity,0.99,0.1433640420436859,0.03987935656836461
sede-central_sabanilla,pressure,0.9,0.004576450679451227,0.05926311001364611
sede-central_sabanilla,pressure,0.95,0.006011620629578829,0.025147832867632725
sede-central_sabanilla,pressure,0.99,0.011861474253237247,0.00266424069140295
sede-central_sabanilla,precipitation,0.9,0.00803665816783905,0.11413740066649578
sede-central_sabanilla,precipitation,0.95,0.040992509573698044,0.049794924378364525
sede-central_sabanilla,precipitation,0.99,0.5021617412567139,0.007818508074852602
sede-central_sabanilla,luminous_intensity,0.9,0.10415223240852356,0.06426668399506141
sede-central_sabanilla,luminous_intensity,0.95,0.1420404613018036,0.02378322178179219
sede-central_sabanilla,luminous_intensity,0.99,0.19026891887187958,0.0033790369744622784
sede-guanacaste_liberia,pressure,0.9,0.008178983815014362,0.058432741732130734
sede-guanacaste_liberia,pressure,0.95,0.010714749805629253,0.030436750396017197
sede-guanacaste_liberia,pressure,0.99,0.01869169808924198,0.007176801474153816
sede-guanacaste_liberia,precipitation,0.9,0.0016326246550306678,0.08564975262315065
sede-guanacaste_liberia,precipitation,0.95,0.007467749994248152,0.03660460336050097
sede-guanacaste_liberia,precipitation,0.99,0.5655583143234253,0.005545065608642654
sede-guanacaste_liberia,luminous_intensity,0.9,0.014731376431882381,0.13837972391943879
sede-guanacaste_liberia,luminous_intensity,0.95,0.025072015821933746,0.0750493001002166
